"Timestamp","1. Gender","2. What is your age ?","3. Current living District","4. Marital status","5. Highest Education Qualification","6. What is your Employment?","7. What is your monthly income range (If you don’t have a job, select NA)?","8. How often do you use the mobile banking service?","9. How many banking mobile app services you are using (in different banks)?","10. What services do you use in banking mobile app? ","11. Rate the benefits of mobile banking service. (On a scale 1 - lowest, 5 - highest)  [24 hour access (anytime can access)]","11. Rate the benefits of mobile banking service. (On a scale 1 - lowest, 5 - highest)  [Time savings(no need to go to bank)]","11. Rate the benefits of mobile banking service. (On a scale 1 - lowest, 5 - highest)  [Cost savings ]","11. Rate the benefits of mobile banking service. (On a scale 1 - lowest, 5 - highest)  [Ease of use]","12. Do you perceive mobile banking as secure","13. Do you think mobile banking service is cheap or expensive than traditional banking?","14. Please rate your overall satisfaction level of mobile banking service.","15. How do you think mobile banking apps can be improved?","16. Do you recommend banking mobile apps for others?"
"2020/11/03 6:25:45 PM GMT+5:30","Female","25-35","Gampaha","Single","Degree / Diploma","Private Sector- Executive","100,000 - 200,000","Weekly several times","1","Money withdrawal;Money deposit;Paying Bills;Money Transaction;Just to check the account balance/status","4","4","3","4","Somewhat","Cheap","Satisfied","Simple user-interfaces;Reduce App loading time;Improve security of transactions","Yes"
"2020/11/03 6:32:22 PM GMT+5:30","Female","25-35","Gampaha","Single","Degree / Diploma","Private Sector- Executive","100,000 - 200,000","Once a month","1","Money withdrawal;Paying Bills","3","3","3","3","Somewhat","Cheap","Satisfied","Simple user-interfaces;Improve security of transactions","Yes"
"2020/11/03 6:37:21 PM GMT+5:30","Male","25-35","Kurunegala","Single","Degree / Diploma","Private Sector - Employee","100,000 - 200,000","Daily Once","2","Money withdrawal;Money deposit;Paying Bills;Money Transaction;Pay loan EMI","4","4","3","3","Very","Cheap","Satisfied","Improve security of transactions","Yes"
"2020/11/03 6:45:37 PM GMT+5:30","Female","25-35","Colombo","Single","Degree / Diploma","Private Sector - Employee","100,000 - 200,000","Weekly Once","3","Paying Bills;Money Transaction","4","3","4","4","Somewhat","Cheap","Satisfied","Simple user-interfaces;Improve security of transactions","Yes"
"2020/11/03 6:47:41 PM GMT+5:30","Female","16-25","Colombo","Single","Degree / Diploma","Government /Public Service","15,000 - 100,000","Once a month","1","Money withdrawal;Paying Bills;Just to check the account balance/status","5","5","4","5","Not at all","Cheap","Satisfied","Improve security of transactions","Yes"
"2020/11/03 6:48:58 PM GMT+5:30","Male","16-25","Hambantota","Single","A/L","Student","Not Applicable","Daily several times","1","Money Transaction;Just to check the account balance/status","3","3","3","3","Somewhat","Cheap","Extremely Satisfied","Reduce App loading time","Yes"
"2020/11/03 6:59:38 PM GMT+5:30","Male","25-35","Galle","Single","Degree / Diploma","Private Sector - Employee","100,000 - 200,000","Weekly several times","2","Paying Bills;Money Transaction;Credit card payment;Just to check the account balance/status;Pay loan EMI","5","4","4","5","Very","Cheap","Extremely Satisfied","Simple user-interfaces;Reduce App loading time;Improve security of transactions","Yes"
"2020/11/03 7:09:16 PM GMT+5:30","Female","25-35","Galle","Single","Degree / Diploma","Private Sector - Employee","15,000 - 100,000","Weekly several times","1","Money withdrawal;Paying Bills;Money Transaction","4","4","4","4","Somewhat","Cheap","Satisfied","Simple user-interfaces;Reduce App loading time","Yes"
"2020/11/03 7:19:19 PM GMT+5:30","Female","25-35","Gampaha","Married","Degree / Diploma","Private Sector - Employee","100,000 - 200,000","Once a month","1","Money deposit","5","5","5","5","Somewhat","Cheap","Satisfied","Simple user-interfaces;Reduce App loading time","Yes"
"2020/11/03 8:39:34 PM GMT+5:30","Male","16-25","Colombo","Single","A/L","Student","Not Applicable","Weekly several times","2","Money withdrawal;Paying Bills;Money Transaction;Credit card payment;Just to check the account balance/status","5","5","5","3","Not at all","Cheap","Satisfied","Simple user-interfaces;Reduce App loading time;Improve security of transactions","Maybe"
